seller_id,product_id,product_name,price,description,subcategory
134,4562271524,Pork - Backs - Boneless,14.99,Realigned reciprocal system engine,Consumer Services
137,6071814500,Vinegar - Tarragon,43.21,Versatile mobile core,Finance
139,6920495165,Oven Mitts 17 Inch,51.6,Profit-focused coherent interface,Technology
140,9909890480,V8 - Berry Blend,17.44,Cloned tangible architecture,Basic Industries
149,6507405471,Wine - Saint Emilion Calvet,18.94,Synergistic background challenge,Basic Industries
150,3956362145,Grapefruit - White,52.94,Multi-channelled logistical time-frame,Energy
157,7222333984,V8 Splash Strawberry Kiwi,40.17,Extended regional middleware,Health Care
159,7117667786,"Apple - Delicious, Red",98.42,Assimilated bifurcated standardization,Technology
162,2706347236,Wine - Charddonnay Errazuriz,33,Balanced 6th generation support,Technology
163,7496185091,Cocoa Powder - Natural,83.3,Customizable web-enabled circuit,Consumer Services
165,2609065771,Hand Towel,88.11,Quality-focused scalable capacity,Technology
166,4469711960,"Yogurt - Blueberry, 175 Gr",85.65,Sharable global frame,Energy
167,9140874412,Juice - Mango,83.21,Intuitive fresh-thinking capability,Technology
169,9983222060,Flavouring - Rum,5.31,Re-contextualized bottom-line superstructure,Finance
170,5625192414,"Lamb - Whole, Fresh",78,Adaptive mission-critical website,Transportation
172,8212162171,Wine - Zinfandel California 2002,65.68,Multi-channelled logistical task-force,Technology
173,403297792,"Bread - Dark Rye, Loaf",92.33,Future-proofed interactive protocol,Finance
176,8709550376,Apricots - Halves,56.12,Balanced solution-oriented challenge,Transportation
177,6523269116,Kirsch - Schloss,62.01,De-engineered client-driven protocol,Finance
178,5938566001,"Basil - Primerba, Paste",86.06,Pre-emptive incremental core,Health Care
179,4144041518,Rice - Basmati,17.47,Optimized clear-thinking groupware,Finance
183,2220127746,Bread Roll Foccacia,16.69,Sharable contextually-based website,Health Care
186,9539845379,Cilantro / Coriander - Fresh,53.17,Focused 5th generation core,Health Care
188,9119094172,Potatoes - Idaho 100 Count,67.63,Front-line optimizing interface,Finance
189,5348375089,Chinese Lemon Pork,71.94,Team-oriented 3rd generation database,Finance
192,427104649,Lamb - Rack,7.88,Triple-buffered fresh-thinking utilisation,Technology
194,3830615529,Sauce - Hollandaise,4.07,Object-based intermediate projection,Consumer Services
195,3200458893,Tahini Paste,11.39,Mandatory asymmetric time-frame,Finance
196,7839108003,Watercress,89.65,Profound analyzing conglomeration,Consumer Durables
197,5773826342,Magnotta Bel Paese Red,16.24,Diverse context-sensitive software,Finance
198,2487839545,Muffin Mix - Morning Glory,79.94,Multi-layered systemic task-force,Consumer Services
199,7567109907,"Brandy - Orange, Mc Guiness",39.46,Managed global circuit,Consumer Services
201,8473097445,Bandage - Flexible Neon,92.34,Secured global system engine,Consumer Services
204,7427730697,"Capon - Breast, Wing On",42.8,Pre-emptive incremental strategy,Technology
206,9102215807,Beans - Green,61.55,Profound interactive protocol,Technology
207,317386323,Walkers Special Old Whiskey,88.03,Profit-focused systemic throughput,Technology
208,6399881001,Soup - Cream Of Broccoli,42.85,Future-proofed neutral interface,Technology
214,3467188868,Egg Patty Fried,1.4,Universal content-based archive,Technology
215,522333369,Coconut Milk - Unsweetened,15.14,Front-line optimal access,Technology
216,4063663882,Compound - Raspberry,21.19,Switchable background focus group,Capital Goods
218,8735657193,Cookie Dough - Chocolate Chip,76.66,Pre-emptive local time-frame,Finance
219,5339218364,Cake - Bande Of Fruit,30.29,Assimilated system-worthy capability,Public Utilities
220,6144503988,"Beer - Alexander Kieths, Pale Ale",28.8,Cross-group interactive software,Health Care
225,3516920172,Pastry - Mini French Pastries,67.46,Mandatory upward-trending website,Energy
228,2670060793,French Pastries,14.63,Customizable 4th generation conglomeration,Finance
232,9001702582,Mix - Cocktail Strawberry Daiquiri,78.97,Synchronised incremental moderator,Health Care
233,9919043044,Chocolate - Semi Sweet,93.87,Total holistic synergy,Finance
235,8004390692,Veal - Inside,90.09,Streamlined responsive framework,Finance
236,4979011403,Wine - Pinot Grigio Collavini,2.12,Programmable bifurcated definition,Technology
237,7993594160,Petit Baguette,87,Fundamental incremental service-desk,Public Utilities
238,4605103953,Shrimp - Black Tiger 26/30,66.59,Focused maximized task-force,Consumer Services
240,4894164087,Sauce - Balsamic Viniagrette,51.99,Triple-buffered radical algorithm,Transportation
242,3386340850,Lobster - Cooked,66.44,Open-architected web-enabled matrices,Energy
246,6803062867,Wine - Mondavi Coastal Private,84.68,Ameliorated even-keeled attitude,Health Care
252,1026752220,Appetizer - Mushroom Tart,44.87,Adaptive didactic functionalities,Finance
253,6801106294,Salt - Table,99.33,Grass-roots multi-tasking project,Health Care
254,1524119140,Pepperoni Slices,15.61,Balanced methodical migration,Technology
255,1195319660,Ecolab - Hobart Upr Prewash Arm,60.86,Realigned human-resource function,Consumer Services
256,1456651762,Lime Cordial - Roses,34.55,Persistent content-based website,Health Care
257,2948506710,Creme De Menthe Green,73.23,Cross-platform holistic task-force,Consumer Non-Durables
258,9131007730,"Sauce - Gravy, Au Jus, Mix",36.91,Up-sized bandwidth-monitored analyzer,Health Care
260,3000769405,Waffle Stix,52.85,Secured cohesive circuit,Consumer Services
262,1553762281,Tamarind Paste,70.02,Secured optimal open architecture,Technology
264,8294770153,Cup - 4oz Translucent,54.91,Cross-platform homogeneous database,Technology
265,9658386490,Bread - Pain Au Liat X12,0.44,Cross-platform 24/7 archive,Public Utilities
266,5969036264,Truffle Cups - Brown,23.4,Devolved systematic encoding,Health Care
268,3317048273,"Chicken - Thigh, Bone In",22.89,Face to face composite Graphical User Interface,Health Care
269,3465216782,"Yogurt - Banana, 175 Gr",35.24,Managed optimizing knowledge user,Finance
272,1705926288,Chips - Doritos,30.95,Cloned needs-based matrix,Energy
273,3436105021,"Pepsi, 355 Ml",31.64,Digitized foreground focus group,Finance
274,4770219121,Spice - Chili Powder Mexican,65.78,Universal methodical parallelism,Basic Industries
279,6866552800,Tuna - Bluefin,28.37,Customizable full-range capacity,Finance
282,6851333204,Pastry - Chocolate Marble Tea,9.37,Synchronised holistic firmware,Technology
284,3389544239,Fennel,72.09,Open-source actuating knowledge user,Technology
285,5137836818,Vaccum Bag - 14x20,11.7,Face to face background knowledge base,Public Utilities
286,9043037490,Eggplant - Regular,47.67,Exclusive logistical definition,Health Care
288,1386590722,Hot Chocolate - Individual,38.7,Persistent non-volatile forecast,Technology
289,7165531888,Longos - Grilled Salmon With Bbq,94.76,Devolved real-time encryption,Basic Industries
291,5330890001,The Pop Shoppe - Cream Soda,46.96,Vision-oriented regional service-desk,Technology
292,6497233320,Molasses - Fancy,66.56,Business-focused motivating workforce,Technology
293,164014678,Rice - Aborio,82.46,Ergonomic needs-based superstructure,Technology
294,1428112371,Chicken - Base,41,Grass-roots bottom-line leverage,Technology
296,8082651075,"Mushrooms - Black, Dried",48.99,Vision-oriented cohesive flexibility,Technology
297,5414584161,"Wine - Magnotta, White",70.08,Business-focused multi-state paradigm,Finance
298,7185642026,"Spoon - Soup, Plastic",97.75,Upgradable incremental success,Health Care
303,5150442469,Cream Of Tartar,75.9,Inverse cohesive policy,Technology
306,5476804093,Plate Pie Foil,62.89,Intuitive responsive time-frame,Technology
309,6702354931,Anchovy In Oil,64.67,Managed contextually-based service-desk,Finance
310,863049472,Broom - Corn,85.3,Quality-focused user-facing collaboration,Finance
311,3780697747,Peas - Frozen,59.6,Optimized zero tolerance parallelism,Consumer Durables
312,4726010204,Coffee - Ristretto Coffee Capsule,81.29,Object-based even-keeled methodology,Technology
315,8579698861,Beef - Tender Tips,64.75,Cross-platform demand-driven instruction set,Health Care
316,9514723808,Wine - Acient Coast Caberne,37.3,Streamlined stable alliance,Technology
318,1359575046,"Lemonade - Black Cherry, 591 Ml",27.64,Multi-tiered methodical circuit,Health Care
319,8602020279,"Soup - Campbells, Butternut",66.44,Profound coherent secured line,Health Care
321,9996836250,Gelatine Leaves - Bulk,89.72,Digitized discrete knowledge base,Technology
322,7650170649,Compound - Passion Fruit,35.66,Multi-channelled composite alliance,Consumer Non-Durables
323,9845705629,Sugar - White Packet,43.24,Polarised leading edge solution,Technology
330,4790190942,Veal - Ground,97.56,Persistent analyzing leverage,Finance
331,7340483019,Longos - Lasagna Veg,34.97,Reduced regional flexibility,Basic Industries
333,6469953890,Glass - Juice Clear 5oz 55005,90.52,Reactive secondary productivity,Technology
335,7968190829,"Water, Tap",51.01,Front-line well-modulated circuit,Technology
336,6992413704,Muffin Hinge Container 6,11.97,Monitored national installation,Public Utilities
339,7085656713,Fennel - Seeds,20.54,Expanded needs-based success,Basic Industries
341,8552444580,Cookie Dough - Double,53.91,Organized client-driven collaboration,Technology
345,3817190230,Veal - Insides Provini,99.59,Upgradable multimedia framework,Technology
346,5751748527,Chips Potato Reg 43g,26.17,Optional bandwidth-monitored budgetary management,Health Care
347,4157108222,Wine - Taylors Reserve,61.85,Optional motivating moratorium,Technology
348,2588991664,Wine - Sauvignon Blanc,66.34,Organic 24 hour initiative,Public Utilities
349,21920184,Shallots,81.73,Customizable background customer loyalty,Technology
351,5427261640,"Iced Tea - Lemon, 340ml",17.68,Balanced zero defect parallelism,Technology
354,7926570655,Bread - Rosemary Focaccia,93.43,Function-based bi-directional artificial intelligence,Finance
355,5165627414,Wine - Sauvignon Blanc Oyster,98.76,Integrated content-based database,Technology
358,8837120409,"Bread - Dark Rye, Loaf",92.48,Enterprise-wide 3rd generation ability,Public Utilities
360,6428513017,"Juice - Grape, White",13.49,Persevering static orchestration,Technology
361,9814607956,Mix - Cocktail Ice Cream,61.27,Universal eco-centric framework,Consumer Services
362,814808657,Paper Cocktail Umberlla 80 - 180,88.67,Innovative client-server leverage,Finance
363,5554971320,Cheese Cheddar Processed,93.67,Ergonomic regional throughput,Technology
364,3838596882,Arctic Char - Fillets,65.6,Horizontal multi-state hierarchy,Health Care
367,9126973561,"Lamb - Leg, Diced",13.87,Profound actuating paradigm,Health Care
375,2552401121,"Schnappes - Peach, Walkers",4.91,Stand-alone reciprocal challenge,Health Care
377,8096042319,Bacardi Mojito,84.78,User-centric optimizing internet solution,Finance
381,790425188,Tea - Black Currant,8.8,Programmable systemic installation,Consumer Services
390,4746722785,Beets - Golden,77.12,Synergized executive open system,Health Care
391,348802361,Ecolab - Ster Bac,56.51,Cross-group 24 hour alliance,Finance
392,3205085652,"Extract - Vanilla,artificial",7.94,User-friendly contextually-based capability,Basic Industries
397,9118427979,Mace Ground,87.33,Expanded fresh-thinking function,Finance
398,290201833,"Turkey - Breast, Double",72.64,User-centric neutral intranet,Energy
399,1972770091,Pork - Belly Fresh,58.93,Devolved client-driven protocol,Health Care
401,6987304709,Cilantro / Coriander - Fresh,84.14,Operative static encryption,Consumer Non-Durables
403,2572817180,Sauce - Soy Low Sodium - 3.87l,62.92,Total fault-tolerant synergy,Public Utilities
405,3198486393,Calypso - Pineapple Passion,69.44,Pre-emptive 24/7 methodology,Finance
407,626067266,Sauce - Marinara,27.85,Organized interactive utilisation,Basic Industries
410,4528794355,Cookies - Assorted,81.08,Open-source 6th generation encoding,Technology
414,7473371934,Dome Lid Clear P92008h,27,Sharable impactful capacity,Health Care
416,4007055682,"Syrup - Monin, Irish Cream",86.12,Integrated non-volatile task-force,Technology
417,1760661901,Lettuce - Iceberg,82.66,Persevering logistical protocol,Consumer Services
418,7687719614,"Tomatoes - Vine Ripe, Red",66.65,Multi-channelled composite knowledge user,Technology
419,8160066393,Pie Filling - Apple,10.87,Re-engineered value-added system engine,Finance
422,7385964317,"Flour - Corn, Fine",58.42,Sharable motivating contingency,Technology
426,2220893985,"Octopus - Baby, Cleaned",53.74,Optimized impactful core,Basic Industries
428,6284396711,"Wine - Red, Marechal Foch",9.94,Networked bottom-line neural-net,Finance
429,9370283392,"Pork - Ham, Virginia",40.43,Extended tertiary parallelism,Health Care
430,4927911026,Soupcontfoam16oz 116con,74.76,Object-based solution-oriented productivity,Consumer Services
432,7736529264,Milk - Buttermilk,9.72,Multi-tiered 24 hour open system,Consumer Services
433,3282388537,Ice Cream - Vanilla,51.31,Adaptive next generation moratorium,Capital Goods
434,3988297214,"Pasta - Fettuccine, Dry",63.06,Down-sized background artificial intelligence,Energy
435,2914979938,Island Oasis - Sweet And Sour Mix,27.43,Stand-alone exuding access,Technology
436,6491706696,"Lemonade - Black Cherry, 591 Ml",15.76,Expanded well-modulated data-warehouse,Consumer Non-Durables
437,4178894119,Cheese - Mascarpone,91.64,Innovative static orchestration,Consumer Services
438,4884795414,Wine - Savigny - Les - Beaune,98.85,Advanced directional solution,Finance
441,7113125368,Muffin Mix - Oatmeal,34.89,Open-source foreground installation,Consumer Services
442,526829109,Kellogs Cereal In A Cup,59.86,Ergonomic system-worthy support,Consumer Services
443,6713620848,"Ice - Clear, 300 Lb For Carving",31.19,Future-proofed asynchronous customer loyalty,Finance
444,6980340178,Tea - English Breakfast,92.28,Extended holistic flexibility,Transportation
445,7372467106,Campari,8.62,Reverse-engineered zero administration policy,Basic Industries
447,363851034,Beef Flat Iron Steak,61.72,Synergistic bandwidth-monitored portal,Finance
449,9509612499,Container - Foam Dixie 12 Oz,99.18,Ameliorated modular hierarchy,Finance
450,7915606790,Wine - Jafflin Bourgongone,72.4,Visionary executive moderator,Technology
456,4808332905,"Pasta - Bauletti, Chicken White",41.61,Ergonomic zero defect intranet,Capital Goods
460,5567424744,"Turkey - Breast, Boneless Sk On",36.57,Down-sized optimal software,Basic Industries
463,2502080996,Sponge Cake Mix - Chocolate,89.53,Cross-group composite Graphic Interface,Finance
466,372979984,Cheese - Goat,16.7,Innovative human-resource focus group,Finance
467,4718193195,Chocolate Bar - Smarties,99.89,Up-sized 24 hour firmware,Technology
469,1441571981,"Tomatoes - Vine Ripe, Red",54.72,Profound mobile superstructure,Energy
470,3067753048,Bread - Hamburger Buns,32.79,Team-oriented explicit definition,Health Care
472,598877764,Garbage Bag - Clear,11.23,Profound intangible encoding,Finance
474,5256273373,Broom - Corn,59.95,Monitored impactful application,Technology
480,6875514333,Sobe - Cranberry Grapefruit,59.09,Diverse radical benchmark,Health Care
481,8864542395,Corn - Mini,43.24,Enhanced bottom-line standardization,Capital Goods
485,8074523314,Turkey - Ground. Lean,88.05,Up-sized optimal protocol,Finance
488,7849762307,"Mushroom - Porcini, Dry",32.09,Fundamental needs-based firmware,Finance
490,9370625941,Cocktail Napkin Blue,17.01,Ergonomic demand-driven function,Finance
493,4151809629,Filter - Coffee,75.88,Persevering global encryption,Health Care
500,3241599965,"Juice - Tomato, 10 Oz",95.62,Triple-buffered static framework,Consumer Services
502,453000746,Chocolate - Dark Callets,15.2,Re-contextualized intangible orchestration,Capital Goods
503,4413793071,Ginger - Crystalized,52.78,User-friendly static structure,Consumer Durables
504,6794901034,Lotus Rootlets - Canned,16.39,Profound bi-directional analyzer,Public Utilities
505,6364397755,Ice Cream Bar - Hageen Daz To,43.24,Secured motivating help-desk,Consumer Non-Durables
506,5518751421,Ice Cream - Turtles Stick Bar,73.54,Multi-lateral object-oriented functionalities,Capital Goods
513,5034816243,Container - Foam Dixie 12 Oz,91.73,Robust 24/7 flexibility,Health Care
514,7661537142,Glass - Juice Clear 5oz 55005,69.87,Reduced leading edge protocol,Capital Goods
516,8773168160,"Fish - Soup Base, Bouillon",16.48,Advanced 5th generation orchestration,Consumer Services
517,5252768375,Fuji Apples,51.7,Fully-configurable composite structure,Technology
518,7352012097,Pumpkin,93.39,Diverse fresh-thinking leverage,Basic Industries
520,5898698729,Bananas,70.73,Secured user-facing process improvement,Finance
522,5949266557,Ginger - Fresh,67.49,Vision-oriented encompassing architecture,Capital Goods
523,7996981361,French Kiss Vanilla,96.85,Centralized neutral encryption,Health Care
527,4987634132,Cheese - Mix,10.87,Exclusive foreground contingency,Capital Goods
528,65488119,Cheese Cloth No 100,94.57,Re-engineered local hierarchy,Public Utilities
533,3482063019,Buffalo - Striploin,84.8,Multi-layered national structure,Energy
535,8343071212,"Lemonade - Kiwi, 591 Ml",4.11,Integrated content-based help-desk,Public Utilities
536,9465310766,Beer - Moosehead,7.67,Cross-group logistical structure,Finance
541,381265748,Pork - Kidney,33.58,Face to face mobile product,Health Care
545,9394237272,"Yogurt - Raspberry, 175 Gr",32.84,Re-contextualized explicit portal,Energy
546,2620426474,Aspic - Clear,93.8,Multi-lateral value-added database,Technology
548,7105202615,Bread - Malt,89.82,Exclusive maximized data-warehouse,Public Utilities
549,4281572755,Cucumber - Pickling Ontario,91.87,Organic reciprocal productivity,Health Care
551,7654711924,"Pork - Back, Short Cut, Boneless",5.87,Expanded static info-mediaries,Consumer Durables
554,9237565420,Cheese - Le Cru Du Clocher,59.56,Focused 5th generation knowledge user,Capital Goods
560,2371057827,Filter - Coffee,71.35,Organized modular concept,Capital Goods
561,8978645144,Chocolate - Mi - Amere Semi,92.43,Ameliorated intermediate emulation,Finance
562,4930253947,Ice Cream - Chocolate,47.96,Public-key didactic neural-net,Public Utilities
563,4835249964,Tray - 16in Rnd Blk,62.74,De-engineered exuding definition,Finance
572,7891467438,"Bread - Roll, Whole Wheat",45.71,Diverse mobile time-frame,Public Utilities
573,7908547614,Jello - Assorted,3.64,Programmable non-volatile collaboration,Consumer Non-Durables
574,6902787341,Octopus,40.46,Balanced motivating ability,Health Care
579,9679853126,Turkey - Ground. Lean,51.49,Integrated leading edge database,Public Utilities
580,7429006332,"Bread - Rolls, Corn",21.77,Diverse transitional data-warehouse,Public Utilities
582,7245386253,"Juice - Cranberry, 341 Ml",51.08,Integrated bifurcated capacity,Capital Goods
586,2810402565,Orange Roughy 6/8 Oz,50.38,Organic composite leverage,Public Utilities
588,1773503358,Sugar Thermometer,21.36,Organic methodical system engine,Miscellaneous
589,2806119855,Soup Campbells Beef With Veg,80.42,Enhanced content-based local area network,Capital Goods
591,4843852951,Aspic - Clear,47.43,Cross-group secondary frame,Consumer Services
593,665676054,Oil - Canola,33.62,Devolved global encoding,Finance
595,9119123736,Guinea Fowl,28.51,Focused national analyzer,Consumer Services
597,3516239742,Beets,57.05,Extended regional function,Finance
600,2631786550,"Wine - White, Ej",93.61,Compatible object-oriented concept,Health Care
610,429522064,Nori Sea Weed,86.28,Reduced systemic concept,Finance
611,6612574904,Flour - Masa De Harina Mexican,76.02,Implemented client-driven application,Public Utilities
615,8036326928,Onions - Cippolini,58.21,Universal multi-tasking time-frame,Technology
616,3999224152,"Asparagus - Green, Fresh",75.24,Profound 24 hour complexity,Public Utilities
618,3848150513,"Lobster - Tail, 3 - 4 Oz",15.89,Versatile real-time application,Public Utilities
620,7890583471,Cake - Pancake,97.35,Open-source web-enabled access,Basic Industries
628,1931613960,Cakes Assorted,64.9,Seamless grid-enabled throughput,Public Utilities
631,4053476316,"Bread - White, Sliced",33.11,Operative user-facing groupware,Basic Industries
632,7405745120,Tea - Lemon Green Tea,58.58,Upgradable homogeneous projection,Energy
633,8413255428,Muffin Mix - Raisin Bran,12.21,Advanced web-enabled groupware,Finance
634,2784463811,Basil - Thai,78.31,Intuitive content-based concept,Basic Industries
637,7393646804,Chips Potato Reg 43g,98.2,Realigned user-facing groupware,Basic Industries
639,3999413675,"Tart Shells - Barquettes, Savory",9.3,Diverse composite model,Basic Industries
640,1812126527,Wine - Pinot Grigio Collavini,52.59,Customer-focused tangible matrix,Health Care
644,3452610359,"Lamb - Racks, Frenched",64.92,Customizable intangible function,Technology
645,1300279527,Muffin - Mix - Mango Sour Cherry,97.62,Multi-layered holistic time-frame,Basic Industries
646,1554101199,"Nut - Walnut, Chopped",71.57,Face to face executive algorithm,Consumer Services
648,2685854786,Instant Coffee,32.78,User-centric fresh-thinking task-force,Consumer Services
649,9133909834,Danishes - Mini Raspberry,39.36,Universal zero tolerance matrix,Basic Industries
652,7662183073,"Beans - Kidney, Red Dry",99.4,Horizontal logistical pricing structure,Technology
653,7888725513,"Nut - Cashews, Whole, Raw",32.05,Balanced non-volatile internet solution,Finance
657,4705485025,"Gin - Gilbeys London, Dry",60.59,Enterprise-wide fresh-thinking support,Energy
658,2338324816,"Doilies - 5, Paper",85.52,Configurable upward-trending system engine,Basic Industries
659,1010928528,Bread - Calabrese Baguette,8.29,Multi-layered responsive success,Basic Industries
661,820785433,Rosemary - Dry,79.42,Multi-layered upward-trending solution,Health Care
664,7282942456,The Pop Shoppe - Lime Rickey,97.79,Monitored 3rd generation projection,Basic Industries
666,9054220985,"Wine - Red, Gallo, Merlot",39.57,Profound fault-tolerant groupware,Health Care
667,2786613771,Wine - Blue Nun Qualitatswein,46.47,Multi-layered didactic policy,Technology
670,8993983765,Fenngreek Seed,85.09,Cross-platform modular approach,Technology
671,7240836734,Bar Mix - Lemon,83.79,Horizontal methodical toolset,Basic Industries
673,2040018908,"Cake Circle, Paprus",38.08,Horizontal fresh-thinking collaboration,Miscellaneous
677,6564529912,Lamb - Ground,48.84,Diverse dynamic toolset,Consumer Services
678,6017463791,Bouillion - Fish,36.5,Enterprise-wide 5th generation service-desk,Consumer Services
679,8553425231,Cheese - Colby,14.59,Fundamental multi-tasking artificial intelligence,Capital Goods
682,8552956316,"Pasta - Spaghetti, Dry",58.27,Integrated mission-critical help-desk,Technology
683,5328741024,Oven Mitts 17 Inch,80.41,Streamlined incremental workforce,Technology
684,356067689,Roe - White Fish,69.79,Pre-emptive bandwidth-monitored Graphic Interface,Finance
